SettlementDate,SettlementPeriod,Demand
2016-01-20,24,47114
2016-01-20,25,46768
2016-01-20,26,46490
2016-01-20,27,46281
2016-01-20,28,46328
2016-01-20,29,46621
2016-01-20,30,46524
2016-01-20,31,46571
2016-01-20,32,47170
2016-01-20,33,47721
2016-01-20,34,49844
2016-01-20,35,51228
2016-01-20,36,51301
2016-01-20,37,51229
2016-01-20,38,51183
2016-01-20,39,50909
2016-01-20,40,49791
2016-01-20,41,48761
2016-01-20,42,47135
2016-01-20,43,45521
2016-01-20,44,43231
2016-01-20,45,41071
2016-01-20,46,38710
2016-01-20,47,35383
2016-01-20,48,34318
2016-01-21,1,33866
2016-01-21,2,34000
2016-01-21,3,33849
2016-01-21,4,33259
2016-01-21,5,32861
2016-01-21,6,32663
2016-01-21,7,32364
2016-01-21,8,31949
2016-01-21,9,33034
2016-01-21,10,33059
2016-01-21,11,34079
2016-01-21,12,35203
2016-01-21,13,38371
2016-01-21,14,41711
2016-01-21,15,44905
2016-01-21,16,47122
2016-01-21,17,48020
2016-01-21,18,47985
2016-01-21,19,48725
2016-01-21,20,48947
2016-01-21,21,48850
2016-01-21,22,48665
2016-01-21,23,48581
2016-01-21,24,48499
2016-01-21,25,48534
2016-01-21,26,48289
2016-01-21,27,48180
2016-01-21,28,47906
2016-01-21,29,47762
2016-01-21,30,47404
2016-01-21,31,47452
2016-01-21,32,48617
2016-01-21,33,48930
2016-01-21,34,50351
2016-01-21,35,51999
2016-01-21,36,51652
2016-01-21,37,51659
2016-01-21,38,51163
2016-01-21,39,50064
2016-01-21,40,48641
2016-01-21,41,45929
2016-01-21,42,44048
2016-01-21,43,41718
2016-01-21,44,39057
2016-01-21,45,36471
2016-01-21,46,34145
2016-01-21,47,31791
2016-01-21,48,30407
2016-01-22,1,30349
2016-01-22,2,30773
2016-01-22,3,30640
2016-01-22,4,29992
2016-01-22,5,29784
2016-01-22,6,29639
2016-01-22,7,29416
2016-01-22,8,28737
2016-01-22,9,28952
2016-01-22,10,28882
2016-01-22,11,29694
2016-01-22,12,30592
2016-01-22,13,33136
2016-01-22,14,36588
2016-01-22,15,41581
2016-01-22,16,43580
2016-01-22,17,44256
2016-01-22,18,44185
2016-01-22,19,44443
2016-01-22,20,44792
2016-01-22,21,44977
2016-01-22,22,45103
2016-01-22,23,44762
2016-01-22,24,44744
2016-01-22,25,44596
2016-01-22,26,44072
2016-01-22,27,43517
2016-01-22,28,42715
2016-01-22,29,42045
2016-01-22,30,41457
2016-01-22,31,40866
2016-01-22,32,41435
2016-01-22,33,42801
2016-01-22,34,45260
2016-01-22,35,47658
2016-01-22,36,47961
2016-01-22,37,47292
2016-01-22,38,46431
2016-01-22,39,44944
2016-01-22,40,43283
2016-01-22,41,41681
2016-01-22,42,40074
2016-01-22,43,38381
2016-01-22,44,36241
2016-01-22,45,34231
2016-01-22,46,32656
2016-01-22,47,30934
2016-01-22,48,30242
2016-01-23,1,30180
2016-01-23,2,30332
2016-01-23,3,30180
2016-01-23,4,29375
2016-01-23,5,28703
2016-01-23,6,28648
2016-01-23,7,28232
2016-01-23,8,27790
2016-01-23,9,27496
2016-01-23,10,27555
2016-01-23,11,27644
2016-01-23,12,28258
2016-01-23,13,29233
2016-01-23,14,29838
2016-01-23,15,31000
2016-01-23,16,32089
2016-01-23,17,33751
2016-01-23,18,35229
2016-01-23,19,36336
2016-01-23,20,36759
2016-01-23,21,36904
2016-01-23,22,36808
2016-01-23,23,36778
2016-01-23,24,36915
2016-01-23,25,37141
2016-01-23,26,37075
2016-01-23,27,36803
2016-01-23,28,36591
2016-01-23,29,36489
2016-01-23,30,36541
2016-01-23,31,36940
2016-01-23,32,37474
2016-01-23,33,38916
2016-01-23,34,41511
2016-01-23,35,43864
2016-01-23,36,44314
2016-01-23,37,43774
2016-01-23,38,42640
2016-01-23,39,41247
2016-01-23,40,39507
2016-01-23,41,38056
2016-01-23,42,36355
2016-01-23,43,34954
2016-01-23,44,33521
2016-01-23,45,32018
2016-01-23,46,30844
2016-01-23,47,29491
2016-01-23,48,28616
2016-01-24,1,28301
2016-01-24,2,28506
2016-01-24,3,28323
2016-01-24,4,27983
2016-01-24,5,27702
2016-01-24,6,27404
2016-01-24,7,26781
2016-01-24,8,26261
2016-01-24,9,25709
2016-01-24,10,25334
2016-01-24,11,25242
2016-01-24,12,25215
2016-01-24,13,25973
2016-01-24,14,26375
2016-01-24,15,27096
2016-01-24,16,27367
2016-01-24,17,28403
2016-01-24,18,30083
2016-01-24,19,31982
2016-01-24,20,33343
2016-01-24,21,34490
2016-01-24,22,35238
2016-01-24,23,35827
2016-01-24,24,36261
2016-01-24,25,36480
2016-01-24,26,36416
2016-01-24,27,36307
2016-01-24,28,36037
2016-01-24,29,35969
2016-01-24,30,35866
2016-01-24,31,36017
2016-01-24,32,36769
2016-01-24,33,38258
2016-01-24,34,41000
2016-01-24,35,42706
2016-01-24,36,42773
2016-01-24,37,42181
2016-01-24,38,41158
2016-01-24,39,39879
2016-01-24,40,38551
2016-01-24,41,37496
2016-01-24,42,35933
2016-01-24,43,34674
2016-01-24,44,32704
2016-01-24,45,31013
2016-01-24,46,29279
2016-01-24,47,27424
2016-01-24,48,26495
2016-01-25,1,26544
2016-01-25,2,26814
2016-01-25,3,27299
2016-01-25,4,26920
2016-01-25,5,26499
2016-01-25,6,26544
2016-01-25,7,26142
2016-01-25,8,25610
2016-01-25,9,25390
2016-01-25,10,25351
2016-01-25,11,25963
2016-01-25,12,26818
2016-01-25,13,29325
2016-01-25,14,32490
2016-01-25,15,36856
2016-01-25,16,38951
2016-01-25,17,39543
2016-01-25,18,39126
2016-01-25,19,39427
2016-01-25,20,39314
2016-01-25,21,39281
2016-01-25,22,39276
2016-01-25,23,39364
2016-01-25,24,39471
2016-01-25,25,39795
2016-01-25,26,39499
2016-01-25,27,39202
2016-01-25,28,39054
2016-01-25,29,39169
2016-01-25,30,39210
2016-01-25,31,39412
2016-01-25,32,40583
2016-01-25,33,42083
2016-01-25,34,44490
2016-01-25,35,46908
2016-01-25,36,47112
2016-01-25,37,46664
2016-01-25,38,45835
2016-01-25,39,44883
2016-01-25,40,43663
2016-01-25,41,42231
2016-01-25,42,40601
2016-01-25,43,38929
2016-01-25,44,36660
2016-01-25,45,34307
2016-01-25,46,32005
2016-01-25,47,29743
2016-01-25,48,28777
2016-01-26,1,28620
2016-01-26,2,28794
2016-01-26,3,28209
2016-01-26,4,28002
2016-01-26,5,27968
2016-01-26,6,27787
2016-01-26,7,27253
2016-01-26,8,26691
2016-01-26,9,26263
2016-01-26,10,26141
2016-01-26,11,26551
2016-01-26,12,27666
2016-01-26,13,29847
2016-01-26,14,33175
2016-01-26,15,37378
2016-01-26,16,39302
2016-01-26,17,39932
2016-01-26,18,39925
2016-01-26,19,40708
2016-01-26,20,40952
2016-01-26,21,41033
2016-01-26,22,41313
2016-01-26,23,41676
2016-01-26,24,41997
2016-01-26,25,42283
2016-01-26,26,42092
2016-01-26,27,42121
2016-01-26,28,42001
2016-01-26,29,41886
2016-01-26,30,41642
2016-01-26,31,41624
2016-01-26,32,42544
2016-01-26,33,43823
2016-01-26,34,45808
2016-01-26,35,47291
2016-01-26,36,47346
2016-01-26,37,46784
2016-01-26,38,46116
2016-01-26,39,44988
2016-01-26,40,43520
2016-01-26,41,42147
2016-01-26,42,40312
2016-01-26,43,38148
2016-01-26,44,35740
2016-01-26,45,33851
2016-01-26,46,31760
2016-01-26,47,29181
2016-01-26,48,27961
2016-01-27,1,27812
2016-01-27,2,28329
2016-01-27,3,28384
2016-01-27,4,28186
2016-01-27,5,28149
2016-01-27,6,27847
2016-01-27,7,27564
2016-01-27,8,27113
2016-01-27,9,26730
2016-01-27,10,26658
2016-01-27,11,27231
2016-01-27,12,28291
2016-01-27,13,30469
2016-01-27,14,33541
2016-01-27,15,37643
2016-01-27,16,39601
2016-01-27,17,40209
2016-01-27,18,40007
2016-01-27,19,40706
2016-01-27,20,41054
2016-01-27,21,41238
2016-01-27,22,41149
2016-01-27,23,41324
2016-01-27,24,41390
2016-01-27,25,41707
2016-01-27,26,41392
2016-01-27,27,41131
2016-01-27,28,40808
2016-01-27,29,40690
2016-01-27,30,40578
2016-01-27,31,40445
2016-01-27,32,41322
2016-01-27,33,42582
2016-01-27,34,44959
2016-01-27,35,47071
2016-01-27,36,47396
2016-01-27,37,47165
2016-01-27,38,46590
2016-01-27,39,45401
2016-01-27,40,44004
2016-01-27,41,42796
2016-01-27,42,40863
2016-01-27,43,39001
