SettlementDate,SettlementPeriod,Generation
2016-01-18,19,46077
2016-01-18,20,46411
2016-01-18,21,46573
2016-01-18,22,46629
2016-01-18,23,46783
2016-01-18,24,46915
2016-01-18,25,47129
2016-01-18,26,47040
2016-01-18,27,46990
2016-01-18,28,46871
2016-01-18,29,47036
2016-01-18,30,46763
2016-01-18,31,46923
2016-01-18,32,47879
2016-01-18,33,49292
2016-01-18,34,50827
2016-01-18,35,51560
2016-01-18,36,51232
2016-01-18,37,50706
2016-01-18,38,50699
2016-01-18,39,50330
2016-01-18,40,49021
2016-01-18,41,47552
2016-01-18,42,45551
2016-01-18,43,43036
2016-01-18,44,41059
2016-01-18,45,38742
2016-01-18,46,36355
2016-01-18,47,33755
2016-01-18,48,28726
2016-01-19,1,32258
2016-01-19,2,32705
2016-01-19,3,32471
2016-01-19,4,31873
2016-01-19,5,31437
2016-01-19,6,31494
2016-01-19,7,31147
2016-01-19,8,30608
2016-01-19,9,30255
2016-01-19,10,30419
2016-01-19,11,30870
2016-01-19,12,32335
2016-01-19,13,35880
2016-01-19,14,39616
2016-01-19,15,43882
2016-01-19,16,46197
2016-01-19,17,47014
2016-01-19,18,46935
2016-01-19,19,47605
2016-01-19,20,47620
2016-01-19,21,47136
2016-01-19,22,46758
2016-01-19,23,46321
2016-01-19,24,45929
2016-01-19,25,45812
2016-01-19,26,45402
2016-01-19,27,45141
2016-01-19,28,45022
2016-01-19,29,45279
2016-01-19,30,45225
2016-01-19,31,45543
2016-01-19,32,46693
2016-01-19,33,48243
2016-01-19,34,50515
2016-01-19,35,51497
2016-01-19,36,51431
2016-01-19,37,51132
2016-01-19,38,50658
2016-01-19,39,50320
2016-01-19,40,49093
2016-01-19,41,48145
2016-01-19,42,46264
2016-01-19,43,44028
2016-01-19,44,41568
2016-01-19,45,39137
2016-01-19,46,36781
2016-01-19,47,34358
2016-01-19,48,32374
2016-01-20,1,32620
2016-01-20,2,32888
2016-01-20,3,32668
2016-01-20,4,32044
2016-01-20,5,31657
2016-01-20,6,31660
2016-01-20,7,31155
2016-01-20,8,30637
2016-01-20,9,30382
2016-01-20,10,30413
2016-01-20,11,31114
2016-01-20,12,32665
2016-01-20,13,36091
2016-01-20,14,39775
2016-01-20,15,44192
2016-01-20,16,46477
2016-01-20,17,47421
2016-01-20,18,47146
2016-01-20,19,47674
2016-01-20,20,47386
2016-01-20,21,46918
2016-01-20,22,46417
2016-01-20,23,45810
2016-01-20,24,45323
2016-01-20,25,44992
2016-01-20,26,44655
2016-01-20,27,44410
2016-01-20,28,44402
2016-01-20,29,44702
2016-01-20,30,44599
2016-01-20,31,44797
2016-01-20,32,46021
2016-01-20,33,47445
2016-01-20,34,49556
2016-01-20,35,50822
2016-01-20,36,50806
2016-01-20,37,50843
2016-01-20,38,50757
2016-01-20,39,50352
2016-01-20,40,49216
2016-01-20,41,47511
2016-01-20,42,45871
2016-01-20,43,43765
2016-01-20,44,41374
2016-01-20,45,38741
2016-01-20,46,36324
2016-01-20,47,33771
2016-01-20,48,33003
2016-01-21,1,31757
2016-01-21,2,32003
2016-01-21,3,31770
2016-01-21,4,31219
2016-01-21,5,30764
2016-01-21,6,30558
2016-01-21,7,30263
2016-01-21,8,29845
2016-01-21,9,29408
2016-01-21,10,29353
2016-01-21,11,30022
2016-01-21,12,31396
2016-01-21,13,34726
2016-01-21,14,38183
2016-01-21,15,42310
2016-01-21,16,44516
2016-01-21,17,45384
2016-01-21,18,45351
2016-01-21,19,46027
2016-01-21,20,46133
2016-01-21,21,45999
